,Position,date,persName,roleName
1,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1925-1930,Sir Charles T. Davis,G.C.M.G.
2,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1930-1939,Sir Edward J. Harding,"G.C.M.G., K.C.B."
3,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1940,Sir A.C. Cosmo Parkinson,"G.C.M.G., K.C.B., O.B.E."
4,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1940-1948,Sir Eric T. Machtig,"G.C.M.G., K.C.B., O.B.E."
5,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1947-1948,Sir R.H. Archibald Carter,"G.C.M.G., K.C.B., K.C.I.E."
6,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1949-1955,Sir Percivale Liesching,"G.C.M.G., K.C.B., K.C.V.O."
7,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1955-1959,Sir J. Gilbert Laithwaite,"G.C.M.G., K.C.B., K.C.I.E., C.S.I."
8,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1959-1961,Sir P. Alexander Clutterbuck,"G.C.M.G., M.C."
9,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1962-1968,Lord Garner,G.C.M.G.
10,"Permanent Under-Secretary, Commonwealth Relations Office (until 1966; Commonwealth Office from 1966 until 1968; Dominions Office from 1925 until 1947)",1968,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
11,Deputy Under-Secretary,1939-1940,Sir Eric T. Machtig,"G.C.M.G., K.C.B., O.B.E."
12,Deputy Under-Secretary,1945-1948,Sir John E. Stephenson,"K.C.M.G., C.V.O., O.B.E."
13,Deputy Under-Secretary,1947,Sir William D. Croft,"K.C.B., K.B.E., C.I.E., C.V.O."
14,Deputy Under-Secretary,1948-1949,Sir J. Gilbert Laithwaite,"G.C.M.G., K.C.B., K.C.I.E., C.S.I."
15,Deputy Under-Secretary,1948-1951,Sir Cecil G.L. Syers,"K.C.M.G., C.V.O."
16,Deputy Under-Secretary,1950-1951,Lord Garner,G.C.M.G.
17,Deputy Under-Secretary,1951-1952,Sir Stephen L. Holmes,"K.C.M.G., M.C."
18,Deputy Under-Secretary,1952-1953,Sir Alexander C.B. Symon,"K.C.M.G., K.C.V.O., O.B.E."
19,Deputy Under-Secretary,1953-1956,Lord Garner,G.C.M.G.
20,Deputy Under-Secretary,1956-1963,Sir Henry J.B. Lintott,K.C.M.G.
21,Deputy Under-Secretary,1958-1966,Sir H. Algernon F. Rumbold,"K.C.M.G., C.I.E."
22,Deputy Under-Secretary,1961-1968,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
23,Deputy Under-Secretary,1964-1967,Sir Neil Pritchard,K.C.M.G.
24,Deputy Under-Secretary,1966-1968,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
25,Deputy Under-Secretary,1966-1969,Sir Arthur N. Galsworthy,K.C.M.G.
26,"Deputy Under-Secretary (General, Political and Far East",1964-1967,Sir Neil Pritchard,K.C.M.G.
27,"Deputy Under-Secretary (General, Political and Far East",1967-1968,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
28,Deputy Under-Secretary (Africa),1964-1966,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
29,Deputy Under-Secretary (Africa),1966-1967,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
30,Deputy Under-Secretary (Africa),1967-1968,Sir W. B. Leslie Monson,"K.C.M.G., C.B."
31,Deputy Under-Secretary (Economic and South Asia),1964-1966,Sir H. Algernon F. Rumbold,"K.C.M.G., C.I.E."
32,Deputy Under-Secretary (Economic and South Asia),1966-1968,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
33,Deputy Under-Secretary (Dependent Territories),1966-1969,Sir Arthur N. Galsworthy,K.C.M.G.
34,Deputy Under-Secretary (Dependent Territories),1969-1972,Sir W. B. Leslie Monson,"K.C.M.G., C.B."
35,Deputy Under-Secretary (Dependent Territories),1972-1974,Sir N. Duncan Watson,K.C.M.G.
36,Assistant Under-Secretary (until 1949),1925-1930,Sir Edward J. Harding,"G.C.M.G., K.C.B."
37,Assistant Under-Secretary (until 1949),1930-1939,Sir Harry F. Batterbee,"G.C.M.G., K.C.V.O."
38,Assistant Under-Secretary (until 1949),1931-1936,Sir Geoffrey G. Whiskard,"K.C.B., K.C.M.G."
39,Assistant Under-Secretary (until 1949),1936-1939,Sir Eric T. Machtig,"G.C.M.G., K.C.B., O.B.E."
40,Assistant Under-Secretary (until 1949),1939-1945,Sir John E. Stephenson,"K.C.M.G., C.V.O., O.B.E."
41,Assistant Under-Secretary (until 1949),1939-1942,Sir Percivale Liesching,"G.C.M.G., K.C.B., K.C.V.O."
