,persName,rolename
0,"ABBOTT, ANTHONY J.",C.M.G.
1,"ABBOTT, ANTHONY J.",O.B.E.
2,"ABBOTT, ARTHUR",C.B.E.
3,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",O.B.E.
4,"ABERCROMBY, Hon. SIR RALPH",K.C.B.
5,"ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF",K.G.
6,"ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF",K.T.
7,"ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF",G.C.B.
8,"ACLAND, SIR ANTONY A.",K.G.
9,"ACLAND, SIR ANTONY A.",G.C.M.G.
10,"ACLAND, SIR ANTONY A.",G.C.V.O.
11,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",G.C.B.
12,"ACTON, RICHARD, 2nd LORD",K.C.V.O.
13,"ADAIR, ARTHUR R.",C.V.O.
14,"ADAIR, ARTHUR R.",M.B.E.
15,"ADAIR, Rt. Hon. SIR ROBERT",G.C.B.
16,"ADAM, FREDERICK E.F.",C.M.G.
17,"ADAMS, ALEC C.S.",C.M.G.
18,"ADAMS, ALEC C.S.",C.B.E.
19,"ADAMS, ALEXANDER A.",C.B.E.
20,"ADAMS, C. CHRISTIAN W.",C.M.G.
21,"ADAMS, SIR FRANCIS O.",K.C.M.G.
22,"ADAMS, SIR FRANCIS O.",C.B.
23,"ADAMS, SIR GEOFFREY D.",K.C.M.G.
24,"ADAMS, SIR PHILIP G.D.",K.C.M.G.
25,"ADAMS, SIR W. JAMES",K.C.M.G.
26,"ADAMSON, JOANNE",O.B.E.
27,"ADDIS, SIR JOHN M.",K.C.M.G.
28,"ADDISON, SIR JOSEPH",K.C.M.G.
29,"ADDISON, Brigadier LEONARD J.L.",C.M.G.
30,"ADDISON, Brigadier LEONARD J.L.",C.B.E.
31,"AGAR-ROBARTES, Hon. FRANCIS G.",M.V.O.
32,"AHMAD, ASIF A.",C.M.G.
33,"AIERS, DAVID P.",C.M.G.
34,"AIREY, KATE",O.B.E.
35,"ALBAN, ARTHUR D.",O.B.E.
36,"ALBAN, Major REGINALD G.E.W.",O.B.E.
37,"ALCOCK, SIR RUTHERFORD",K.C.B.
38,"ALDERTON, CLIVE",L.V.O.
39,"ALDINGTON, SIR GEOFFREY W.",K.B.E.
40,"ALDINGTON, SIR GEOFFREY W.",C.M.G.
41,"ALESSANDRI, MADELEINE K.",C.M.G.
42,"ALEXANDER, SIR MICHAEL O’D. B.",G.C.M.G.
43,"ALISON, CHARLES",C.B.
44,"ALLAN, Hon. SIR ALEXANDER C.S.",K.C.B.
45,"ALLAN, JAMES N.",C.M.G.
46,"ALLAN, JAMES N.",C.B.E.
47,"ALLCHIN, SIR GEOFFREY C.",K.B.E.
48,"ALLCHIN, SIR GEOFFREY C.",C.M.G.
49,"ALLCHIN, SIR GEOFFREY C.",M.C.
50,"ALLEN, DONALD G.",C.M.G.
51,"ALLEN, MARK E.",C.M.G.
52,"ALLEN, MARK E.",C.V.O.
53,"ALLEN, SIR RICHARD H.S.",K.C.M.G.
54,"ALLEN, SIR ROGER",K.C.M.G.
55,"ALLEN, SIR W. DENIS",G.C.M.G.
56,"ALLINSON, SIR W. LEONARD",K.C.V.O.
57,"ALLINSON, SIR W. LEONARD",C.M.G.
58,"ALMOND, T. CLIVE",O.B.E.
59,"ALSTON, SIR FRANCIS B.",K.C.M.G.
60,"ALSTON, Rt. Hon. SIR BEILBY F.",K.C.M.G.
61,"ALSTON, Rt. Hon. SIR BEILBY F.",C.B.
62,"ALSTON, ROBERT J.",C.M.G.
63,"AMHERST, Rt. Hon. WILLIAM P., 1st LORD",G.C.B.
64,"AMORY, Rt. Hon. DERICK, 1st VISCOUNT",K.G.
65,"AMORY, Rt. Hon. DERICK, 1st VISCOUNT",G.C.M.G.
66,"AMORY, Rt. Hon. DERICK, 1st VISCOUNT",T.D.
67,"AMY, DENNIS O.",C.M.G.
68,"AMY, DENNIS O.",O.B.E.
69,"ANDERSON, DAVID H.",C.M.G.
70,"ANDERSON, GEORGE D.",C.M.G.
71,"ANDERSON, SIR H. PERCY",K.C.B.
72,"ANDERSON, SIR H. PERCY",K.C.M.G.
73,"ANGST, SIR HENRY",K.C.M.G.
74,"ANTROBUS, MAURICE E.",C.M.G.
75,"ANTROBUS, MAURICE E.",O.B.E.
76,"APPLEYARD, SIR LEONARD V.",K.C.M.G.
77,"ARBUTHNOTT, HUGH J.",C.M.G.
78,"ARCHER, GRAHAM R.",C.M.G.
79,"ARCHER, NICHOLAS S.",M.V.O.
80,"ARCHER, NORMAN E.",C.M.G.
81,"ARCHER, NORMAN E.",O.B.E.
82,"ARCHIBALD, SIR EDWARD M.",K.C.M.G.
83,"ARCHIBALD, SIR EDWARD M.",C.B.
84,"ARCULUS, SIR RONALD",K.C.M.G.
85,"ARKWRIGHT, PAUL T.",C.M.G.
86,"ARMITAGE, HENRY ST.J. B.",C.B.E.
87,"ARMSTRONG, SIR HARRY GLOSTER-",K.C.M.G.
88,"ARMSTRONG, SIR HARRY GLOSTER-",K.B.E.
89,"ARTHINGTON-DAVY, HUMPHREY A.",L.V.O.
90,"ARTHINGTON-DAVY, HUMPHREY A.",O.B.E.
91,"ARTHUR, SIR GEOFFREY G.",K.C.M.G.
92,"ARTHUR, JAMES S.",C.M.G.
93,"ARTHUR, SIR MICHAEL A.",K.C.M.G.
94,"ASHE, SIR DERICK R.",K.C.M.G.
95,"ASHFORD, WILLIAM S.",O.B.E.
96,"ASHTON-GWATKIN, FRANK T.A.",C.B.
97,"ASHTON-GWATKIN, FRANK T.A.",C.M.G.
98,"ASPIN, NORMAN",C.M.G.
99,"ASQUITH, Hon. SIR DOMINIC A.G.",K.C.M.G.
100,"ASTLEY, PHILIP S.",C.V.O.
101,"ASTON, SIR ARTHUR",G.C.B.
102,"ASTON, THOMAS W.",C.M.G.
103,"ATKINSON, JAMES O.",C.M.G.
104,"ATKINSON, MICHAEL W.",C.M.G.
105,"ATKINSON, MICHAEL W.",M.B.E.
106,"AUDLAND, SIR CHRISTOPHER J.",K.C.M.G.
107,"AUST, ANTHONY L",C.M.G.
108,"AUSTEN, RICHARD J.",M.B.E.
109,"AVELING, ARTHUR F.",C.M.G.
110,"AVELING, ARTHUR F.",C.B.E.
