,date_from,date_to,persname,rs
0,1993,1997,"ABBOTT, ANTHONY J.",Consul-General Perth Australia 
1,1997,2001,"ABBOTT, ANTHONY J.",Governor of Montserrat 
2,1928,1939,"ABBOTT, ARTHUR",Consul-General Sao Paulo 
3,2014,,"ABBOTT, PETER",Counsellor and Deputy Head of Mission Embassy Portugal 
4,1889,1895,"ABBOTT, WILLIAM G.",Consul-General Rio de Janeiro 
5,2002,2006,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambassador to Armenia 
6,2008,2009,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambasador to Outer Mongolia  and 2011-2012
7,2016,,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambassador to Turkmenistan 
8,1831,1836,"ABERCROMBY, Hon. SIR RALPH",Secretary of Legation Prussia 
9,1836,1839,"ABERCROMBY, Hon. SIR RALPH",Minister Resident Tuscany 
10,1839,1840,"ABERCROMBY, Hon. SIR RALPH",Minister to the German Confederation 
11,1840,1852,"ABERCROMBY, Hon. SIR RALPH",Minister to Sardinia-Piedmont 
12,1852,1858,"ABERCROMBY, Hon. SIR RALPH",Minister to the Netherlands 
13,1813,1814,"ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF",Ambassador to Austria 
14,1970,1972,"ACLAND, SIR ANTONY A.",Head of Arabian Department Foreign and Commonwealth Office 
15,1972,1975,"ACLAND, SIR ANTONY A.",Principal Private Secretary to the Foreign Secretary 
16,1975,1977,"ACLAND, SIR ANTONY A.",Ambassador to Luxemburg 
17,1977,1980,"ACLAND, SIR ANTONY A.",Ambassador to Spain 
18,1980,1982,"ACLAND, SIR ANTONY A.",Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence and Intelligence) 
19,1982,1986,"ACLAND, SIR ANTONY A.",Permanent Under-Secretary for Foreign and Commonwealth Affairs 
20,1986,1991,"ACLAND, SIR ANTONY A.",Ambassador to the U.S.A. 
21,1801,1807,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Secretary of Legation The Two Sicilies 
22,1814,1822,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Minister to the Two Sicilies 
23,1822,1824,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Minister to Spain 
24,1828,1832,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Ambassador to Portugal 
25,1828,1832,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Ambassador to Russia 
26,1906,1911,"ACTON, RICHARD, 2nd LORD",Secretary of Legation the Netherlands 
27,1911,1914,"ACTON, RICHARD, 2nd LORD",Charge d’Affaires Hesse-Darmstadt and Baden 
28,1914,1919,"ACTON, RICHARD, 2nd LORD",Secretary of Legation Switzerland 
29,1919,1920,"ACTON, RICHARD, 2nd LORD",Minister to Finland 
30,1960,1964,"ADAIR, ARTHUR R.",Deputy High Commissioner Dacca Pakistan 
31,1964,1968,"ADAIR, ARTHUR R.",Deputy High Commissioner Cyprus 
32,1968,1972,"ADAIR, ARTHUR R.",High Commissioner in Brunei 
