,Position,date,persName,roleName
1,Permanent Under-Secretary of State,1827-1842,John Backhouse,
2,Permanent Under-Secretary of State,1842-1854,Rt. Hon. Henry U. Addington,
3,Permanent Under-Secretary of State,1854-1873,"Edmund, 1st Lord Hammond",P.C.
4,Permanent Under-Secretary of State,1873-1882,"Charles, 3rd Lord Tenterden",K.C.B.
5,Permanent Under-Secretary of State,1882-1889,"Julian, 1st Lord Pauncefote","P.C., G.C.B., G.C.M.G."
6,Permanent Under-Secretary of State,1889-1893,"Philip, 1st Lord Currie",G.C.M.G.
7,Permanent Under-Secretary of State,1894-1906,"Thomas, 1st Lord Sanderson","G.C.B., K.C.M.G."
8,Permanent Under-Secretary of State,1906-1910,"Charles, 1st Lord Hardinge of Penshurst","K.G., P.C., G.C.B., G.C.S.I., G.C.M.G., G.C.I.E., G.C.V.O."
9,Permanent Under-Secretary of State,1910-1916,"Arthur, 1st Lord Carnock","G.C.B., G.C.M.G., G.C.V.O., K.C.I.E."
10,Permanent Under-Secretary of State,1916-1920,"Charles, 1st Lord Hardinge of Penshurst","K.G., P.C., G.C.B., G.C.S.I., G.C.M.G., G.C.I.E., G.C.V.O."
11,Permanent Under-Secretary of State,1920-1925,Sir Eyre A.B.W. Crowe,"G.C.B., G.C.M.G."
12,Permanent Under-Secretary of State,1925-1928,"William, 1st Lord Tyrrell","P.C., G.C.B., G.C.M.G., K.C.V.O."
13,Permanent Under-Secretary of State,1928-1930,Rt. Hon. Sir Ronald C. Lindsay,"G.C.B., K.C.M.G., C.V.O."
14,Permanent Under-Secretary of State,1930-1938,"Robert, 1st Lord Vansittart","P.C., G.C.B., G.C.M.G., M.V.O."
15,Permanent Under-Secretary of State,1938-1946,Rt. Hon. Sir Alexander G.M. Cadogan,"O.M., G.C.M.G., K.C.B."
16,Permanent Under-Secretary of State,1946-1949,Sir Orme G. Sargent,"G.C.M.G., K.C.B."
17,Permanent Under-Secretary of State,1949-1953,"William, 1st Lord Strang","G.C.M.G., K.C.B., M.B.E."
18,Permanent Under-Secretary of State,1953-1957,Sir Ivone A. Kirkpatrick,"G.C.B., G.C.M.G."
19,Permanent Under-Secretary of State,1957-1962,"Frederick, 1st Lord Inchyra","G.C.M.G., C.V.O."
20,Permanent Under-Secretary of State,1962-1965,"Harold, Lord Caccia","G.C.M.G., G.C.V.O."
21,Permanent Under-Secretary of State,1965-1969,"Paul, Lord Gore-Booth","G.C.M.G., K.C.V.O."
22,Permanent Under-Secretary of State,1969-1973,"Denis, Lord Greenhill of Harrow","G.C.M.G., O.B.E."
23,Permanent Under-Secretary of State,1973-1975,"Thomas, Lord Brimelow","G.C.M.G., O.B.E."
24,Permanent Under-Secretary of State,1975-1982,Rt. Hon. Sir A. Michael Palliser,G.C.M.G.
25,Permanent Under-Secretary of State,1982-1986,Sir Antony A. Acland,"K.G., G.C.M.G., G.C.V.O."
26,Permanent Under-Secretary of State,1986-1991,"Patrick, Lord Wright of Richmond",G.C.M.G.
27,Permanent Under-Secretary of State,1991-1994,"David, Lord Gillmore of Thamesfield",G.C.M.G.
28,Permanent Under-Secretary of State,1994-1997,Sir A. John Coles,G.C.M.G.
29,Permanent Under-Secretary of State,1997-2002,"John, Lord Kerr of Kinlochard",G.C.M.G.
30,Permanent Under-Secretary of State,2002-2006,"Michael, Lord Jay of Ewelme",G.C.M.G.
31,Permanent Under-Secretary of State,2006-2010,Lord Ricketts,"G.C.M.G., G.C.V.O."
32,Permanent Under-Secretary of State,2010-2015,Sir Simon J. Fraser,G.C.M.G.
33,Permanent Under-Secretary of State,2015-,Sir Simon G. McDonald,"K.C.M.G., K.C.V.O."
