,Position,date,persName,roleName
1,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1937-1940,Lieutenant-Colonel Sir Bernard R. Reilly,"K.C.M.G., C.I.E., O.B.E."
2,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1940-1944,Sir John H. Hall,"G.C.M.G., D.S.O., O.B.E., M.C."
3,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1944-1951,Sir Reginald S. Champion,"K.C.M.G., O.B.E."
4,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1951-1956,Sir Tom Hickinbotham,"K.C.M.G., K.C.V.O., C.I.E., O.B.E."
5,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1956-1960,Sir William H.T. Luce,"G.B.E., K.C.M.G."
6,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1960-1963,Sir Charles H. Johnston,G.C.M.G.
7,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1963-1965,Sir G. Kennedy N. Trevaskis,"K.C.M.G., O.B.E."
8,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1965-1967,Sir Richard G. Turnbull,G.C.M.G.
9,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1967,Lord Trevelyan,"K.G., G.C.M.G., C.I.E., O.B.E."
10,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1937-1940,Lieutenant-Colonel Morice C. Lake,C.M.G.
11,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1940-1942,W. Harold Ingrams,"C.M.G., O.B.E."
12,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1942-1944,Sir Reginald S. Champion,"K.C.M.G., O.B.E."
13,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1944-1947,Alan L. Kirkbride,O.B.E.
14,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1947-1949,Ambler R. Thomas,C.M.G.
15,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1949-1953,Sir William A.C. Goode,G.C.M.G.
16,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1953-1957,Sir Evelyn D. Hone,"G.C.M.G., C.V.O., O.B.E."
17,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1957-1963,Kenneth W. Simmonds,C.M.G.
18,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1963-1967,Sir Thomas Oates,"C.M.G., O.B.E."
19,"ADEN (from 1937 until 1963; HIGH COMMISSIONER, FEDERATION OF SOUTH ARABIA from 1963 until 1968)",1966-1967,Sir A. John Wilton,"K.C.M.G., K.C.V.O., M.C."
20,Chief Secretary (Deputy High Commissioner from 1963),1937-1940,Lieutenant-Colonel Morice C. Lake,C.M.G.
21,Chief Secretary (Deputy High Commissioner from 1963),1940-1942,W. Harold Ingrams,"C.M.G., O.B.E."
22,Chief Secretary (Deputy High Commissioner from 1963),1942-1944,Sir Reginald S. Champion,"K.C.M.G., O.B.E."
23,Chief Secretary (Deputy High Commissioner from 1963),1944-1947,Alan L. Kirkbride,O.B.E.
24,Chief Secretary (Deputy High Commissioner from 1963),1947-1949,Ambler R. Thomas,C.M.G.
25,Chief Secretary (Deputy High Commissioner from 1963),1949-1953,Sir William A.C. Goode,G.C.M.G.
26,Chief Secretary (Deputy High Commissioner from 1963),1953-1957,Sir Evelyn D. Hone,"G.C.M.G., C.V.O., O.B.E."
27,Chief Secretary (Deputy High Commissioner from 1963),1957-1963,Kenneth W. Simmonds,C.M.G.
28,Chief Secretary (Deputy High Commissioner from 1963),1963-1967,Sir Thomas Oates,"C.M.G., O.B.E."
29,Chief Secretary (Deputy High Commissioner from 1963),1966-1967,Sir A. John Wilton,"K.C.M.G., K.C.V.O., M.C."
30,ANGUILLA (from 1982),1982-1983,Charles H. Godden,C.B.E.
31,ANGUILLA (from 1982),1983-1987,Alastair T. Baillie,
32,ANGUILLA (from 1982),1987-1989,Geoffrey O. Whittaker,O.B.E.
33,ANGUILLA (from 1982),1989-1992,Brian J.G. Canty,C.B.E.
34,ANGUILLA (from 1982),1992-1995,Alan W. Shave,"C.V.O., O.B.E."
35,ANGUILLA (from 1982),1995-1996,Alan Hoole,"C.M.G., O.B.E."
36,ANGUILLA (from 1982),1997-2000,Robert M. Harris,
37,ANGUILLA (from 1982),2000-2004,Peter Johnstone,C.M.G.
38,ANGUILLA (from 1982),2004-2006,Alan E. Huckle,
39,ANGUILLA (from 1982),2006-2009,Andrew N. George,
40,ANGUILLA (from 1982),2009-2013,W. Alistair Harrison,"C.M.G., C.V.O."
41,ANGUILLA (from 1982),2013-2017,Christina M.E. Scott,
42,ANGUILLA (from 1982),2017-,Timothy Foy,O.B.E.
43,Governor-General (from 1850 until 1861 and from 1901),1850-1855,Sir Charles A. Fitzroy,K.C.B.
44,Governor-General (from 1850 until 1861 and from 1901),1855-1861,Sir William T. Denison,K.C.B.
45,Governor-General (from 1850 until 1861 and from 1901),1901-1903,Rt. Hon. Marquess of Linlithgow,"K.T., G.C.M.G., G.C.V.O."
46,Governor-General (from 1850 until 1861 and from 1901),1903-1904,Rt. Hon. Lord Tennyson,G.C.M.G.
47,Governor-General (from 1850 until 1861 and from 1901),1904-1908,Rt. Hon. Lord Northcote,"G.C.M.G., G.C.I.E., C.B."
48,Governor-General (from 1850 until 1861 and from 1901),1908-1911,Rt. Hon. Earl of Dudley,"G.C.B., G.C.M.G., G.C.V.O."
49,Governor-General (from 1850 until 1861 and from 1901),1911-1914,Rt. Hon. Lord Denman,"G.C.M.G., K.C.V.O."
50,Governor-General (from 1850 until 1861 and from 1901),1914-1920,Rt. Hon. Viscount Novar,"K.T., G.C.M.G."
51,Governor-General (from 1850 until 1861 and from 1901),1920-1925,Rt. Hon. Lord Forster,G.C.M.G.
52,Governor-General (from 1850 until 1861 and from 1901),1925-1931,Rt. Hon. Viscount Stonehaven,"G.C.M.G., D.S.O."
53,Governor-General (from 1850 until 1861 and from 1901),1931-1936,Sir Isaac A. Isaacs,"G.C.B., G.C.M.G."
54,Governor-General (from 1850 until 1861 and from 1901),1936-1945,"Brigadier-General Rt. Hon. Earl of Gowrie, V.C.","G.C.M.G., C.B., D.S.O."
55,Governor-General (from 1850 until 1861 and from 1901),1945-1947,H.R.H. Duke of Gloucester,"K.G., K.T., K.P., G.C.B., G.C.M.G., G.C.V.O."
56,Governor-General (from 1850 until 1861 and from 1901),1947-1953,Rt. Hon. Sir William J. McKell,G.C.M.G.
57,Governor-General (from 1850 until 1861 and from 1901),1953-1960,Field-Marshal Viscount Slim,"K.G., G.C.B., G.C.M.G., G.C.V.O., G.B.E., D.S.O., M.C."
58,Governor-General (from 1850 until 1861 and from 1901),1960-1961,Rt. Hon. Viscount Dunrossil,"G.C.M.G., M.C."
59,Governor-General (from 1850 until 1861 and from 1901),1961-1965,"Rt. Hon. Viscount De L’Isle, V.C.","K.G., G.C.M.G., G.C.V.O."
60,Governor-General (from 1850 until 1861 and from 1901),1965-1969,Rt. Hon. Lord Casey,"K.G., G.C.M.G., C.H., D.S.O., M.C."
61,Governor-General (from 1850 until 1861 and from 1901),1969-1974,Rt. Hon. Sir Paul M.C. Hasluck,"K.G., G.C.M.G., G.C.V.O."
62,Governor-General (from 1850 until 1861 and from 1901),1974-1977,Rt. Hon. Sir John R. Kerr,"G.C.M.G., G.C.V.O."
63,Governor-General (from 1850 until 1861 and from 1901),1977-1982,Rt. Hon. Sir Zelman Cowen,"G.C.M.G., G.C.V.O."
64,Governor-General (from 1850 until 1861 and from 1901),1982-1989,Rt. Hon. Sir Ninian M. Stephen,"K.G., G.C.M.G., G.C.V.O."
65,Governor-General (from 1850 until 1861 and from 1901),1989-1996,William G. Hayden,
66,Governor-General (from 1850 until 1861 and from 1901),1996-2001,Sir William P. Deane,K.B.E.
67,Governor-General (from 1850 until 1861 and from 1901),2001-2003,Rt. Rev. Peter J. Hollingworth,
68,Governor-General (from 1850 until 1861 and from 1901),2003-2008,Major-General P. Michael Jeffrey,"C.V.O., M.C."
69,Governor-General (from 1850 until 1861 and from 1901),2008-2014,Quentin A.L. Bryce,C.V.O.
70,Governor-General (from 1850 until 1861 and from 1901),2014-,General Peter J. Cosgrove,
71,NEW SOUTH WALES,1846-1855,Sir Charles A. Fitzroy,K.C.B.
72,NEW SOUTH WALES,1855-1861,Sir William T. Denison,K.C.B.
73,NEW SOUTH WALES,1861-1867,Rt. Hon. Lord Lisgar,"G.C.B., G.C.M.G."
74,NEW SOUTH WALES,1868-1872,Rt. Hon. the Earl Belmore,G.C.M.G.
75,NEW SOUTH WALES,1872-1879,Rt. Hon. Lord Rosmead,G.C.M.G.
76,NEW SOUTH WALES,1879-1885,Rt. Hon. Lord Augustus W.F.S. Loftus,G.C.B.
77,NEW SOUTH WALES,1885-1890,Rt. Hon The Marquess of Lincolnshire,"K.G., G.C.M.G."
78,NEW SOUTH WALES,1890-1893,Rt. Hon the Earl of Jersey,"G.C.B., G.C.M.G."
