,Position,date,persName,roleName
1,Permanent Under-Secretary,1854-1859,Herman Merivale,C.B.
2,Permanent Under-Secretary,1860-1871,Rt. Hon. Lord Blachford,K.C.M.G.
3,Permanent Under-Secretary,1871-1892,Sir Robert G.W. Herbert,G.C.B.
4,Permanent Under-Secretary,1892-1897,Hon. Sir Robert H. Meade,G.C.B.
5,Permanent Under-Secretary,1897-1900,Sir Edward Wingfield,K.C.B.
6,Permanent Under-Secretary,1900-1907,Sir Montagu F. Ommanney,"G.C.M.G., K.C.B."
7,Permanent Under-Secretary,1907-1911,Rt. Hon. Lord Southborough,"G.C.B., G.C.M.G., G.C.V.O., K.C.S.I."
8,Permanent Under-Secretary,1911-1916,Sir John Anderson,"G.C.M.G., K.C.B."
9,Permanent Under-Secretary,1916-1921,Sir George V. Fiddes,"G.C.M.G., K.C.B."
10,Permanent Under-Secretary,1921-1924,Sir James E. Masterton-Smith,K.C.B.
11,Permanent Under-Secretary,1925-1933,Brigadier-General Sir Samuel H. Wilson,"G.C.M.G., K.C.B., K.B.E."
12,Permanent Under-Secretary,1933-1937,Lord Rugby,"G.C.M.G., K.C.B., K.C.V.O., C.S.I., C.I.E."
13,Permanent Under-Secretary,1937-1940,Sir A.C. Cosmo Parkinson,"G.C.M.G., K.C.B., O.B.E."
14,Permanent Under-Secretary,1940,Brigadier-General Sir George H. Gater,"G.C.M.G., K.C.B."
15,Permanent Under-Secretary,1940-1942,Sir A.C. Cosmo Parkinson,"G.C.M.G., K.C.B., O.B.E."
16,Permanent Under-Secretary,1942-1947,Brigadier-General Sir George H. Gater,"G.C.M.G., K.C.B."
17,Permanent Under-Secretary,1947-1956,Sir Thomas I.K. Lloyd,"G.C.M.G., K.C.B."
18,Permanent Under-Secretary,1956-1959,Sir John S. Macpherson,G.C.M.G.
19,Permanent Under-Secretary,1959-1966,Sir A. Hilton Poynton,G.C.M.G.
20,Deputy Under-Secretary,1925-1931,Sir Gilbert E.A. Grindle,"K.C.M.G., C.B."
21,Deputy Under-Secretary,1931-1942,Sir John E. Shuckburgh,"K.C.M.G., C.B."
22,Deputy Under-Secretary,1939,Sir Henry M.-M. Moore,G.C.M.G.
23,Deputy Under-Secretary,1942-1945,Sir William D. Battershill,K.C.M.G.
24,Deputy Under-Secretary,1945-1947,Sir Arthur J. Dawe,"K.C.M.G., O.B.E."
25,Deputy Under-Secretary,1947-1948,Sir Sydney Caine,K.C.M.G.
26,Deputy Under-Secretary,1947-1956,Sir Charles J. Jeffries,"K.C.M.G., O.B.E."
27,Deputy Under-Secretary,1948-1959,Sir A. Hilton Poynton,G.C.M.G.
28,Deputy Under-Secretary,1956-1965,Sir John M. Martin,"K.C.M.G., C.B., C.V.O."
29,Deputy Under-Secretary,1959-1963,Sir William L. Gorell-Barnes,K.C.M.G.
30,Deputy Under-Secretary,1965-1966,Sir Arthur N. Galsworthy,K.C.M.G.
31,Assistant Under-Secretary,1847-1868,Sir T. Frederick Elliot,K.C.M.G.
32,Assistant Under-Secretary,1868-1870,Rt. Hon. Lord Sandford,K.C.B.
33,Assistant Under-Secretary,1870-1871,Sir Robert G.W. Herbert,G.C.B.
34,Assistant Under-Secretary,1870-1874,Rt. Hon. Viscount Knutsford,G.C.M.G.
35,Assistant Under-Secretary,1874-1876,Lord Pauncefote,"G.C.B., G.C.M.G."
36,Assistant Under-Secretary,1924-1927,Sir Charles Strachey,K.C.M.G.
37,Assistant Under-Secretary,1927-1938,Sir W. Cecil Bottomley,"K.C.M.G., C.B., O.B.E."
38,Assistant Under-Secretary,1930-1939,Sir George J.F. Tomlinson,"K.C.M.G., C.B.E."
39,Assistant Under-Secretary,1931-1937,Sir A.C. Cosmo Parkinson,"G.C.M.G., K.C.B., O.B.E."
40,Assistant Under-Secretary,1937-1939,Sir Henry M.-M. Moore,G.C.M.G.
41,Assistant Under-Secretary,1938-1945,Sir Arthur J. Dawe,"K.C.M.G., O.B.E."
42,Assistant Under-Secretary,1940-1941,Sir Alan C.M. Burns,G.C.M.G.
43,Assistant Under-Secretary,1941-1942,Sir William D. Battershill,K.C.M.G.
44,Assistant Under-Secretary,1942-1946,Sir G. Edward J. Gent,"K.C.M.G., D.S.O., O.B.E., M.C."
45,Assistant Under-Secretary,1943-1945,Sir Gerald H. Creasy,"K.C.M.G., O.B.E."
46,"Assistant Under-Secretary (North America, Australia and South Africa)",1874-1878,William R. Malcolm,
47,"Assistant Under-Secretary (North America, Australia and South Africa)",1878-1894,Sir John Bramston,"G.C.M.G., C.B."
48,"Assistant Under-Secretary (North America, Australia and West Africa)",1894-1897,Sir John Bramston,"G.C.M.G., C.B."
49,"Assistant Under-Secretary (North America, Australia and West Africa)",1897-1898,H. Bertram Cox,C.B.
50,Assistant Under-Secretary (North America and Australia),1898-1907,H. Bertram Cox,C.B.
51,Assistant Under-Secretary (West Indies),1876-1878,Sir John Bramston,"G.C.M.G., C.B."
52,Assistant Under-Secretary (West Indies),1878-1897,Sir Edward Wingfield,K.C.B.
53,Assistant Under-Secretary (West Indies and Eastern),1897-1907,Sir Charles P. Lucas,"K.C.B., K.C.M.G."
54,Assistant Under-Secretary (West Africa and Eastern),1871-1892,Hon. Sir Robert H. Meade,G.C.B.
55,Assistant Under-Secretary (West Africa),1898-1907,Sir Reginald L. Antrobus,"K.C.M.G., C.B."
56,Assistant Under-Secretary (South Africa and Eastern),1892-1897,Edward Fairfield,"C.B., C.M.G."
57,Assistant Under-Secretary (South Africa),1897-1907,Sir Frederick Graham,K.C.B.
58,Assistant Under-Secretary (South Africa),1907,Sir Hartmann W. Just,"K.C.M.G., C.B."
59,Chief Clerk,1860-1870,Gordon Gairdner,C.M.G.
60,Chief Clerk,1870-1872,"Sir George Barrow, Bt.",C.M.G.
61,Chief Clerk,1872-1879,Sir Charles Cox,"K.C.M.G., C.B."
62,Chief Clerk,1879,William Dealtry,C.M.G.
63,Chief Clerk,1879-1896,Richard P. Ebden,C.B.
64,Chief Clerk,1896-1909,Sir William A. Baillie-Hamilton,"K.C.M.G., C.B."
65,Chief Clerk,1909-1917,Sir C. Alexander Harris,"K.C.M.G., C.B., C.V.O."
66,"Assistant Under-Secretary, Crown Colonies/Colonies and Protectorates Division (until 1925)",1907-1909,Sir Reginald L. Antrobus,"K.C.M.G., C.B."
67,"Assistant Under-Secretary, Crown Colonies/Colonies and Protectorates Division (until 1925)",1909-1916,Sir George V. Fiddes,"G.C.M.G., C.B."
68,"Assistant Under-Secretary, Crown Colonies/Colonies and Protectorates Division (until 1925)",1916-1924,Sir Herbert J. Read,"K.C.M.G., C.B."
69,"Assistant Under-Secretary, Crown Colonies/Colonies and Protectorates Division (until 1925)",1916-1925,Sir Gilbert E.A. Grindle,"K.C.M.G., C.B."
70,"Assistant Under-Secretary, Dominions Division (from 1907 until 1925)",1907-1911,Sir Charles P. Lucas,"K.C.B., K.C.M.G."
71,"Assistant Under-Secretary, Dominions Division (from 1907 until 1925)",1907-1916,Sir Hartmann W. Just,"K.C.M.G., C.B."
72,"Assistant Under-Secretary, Dominions Division (from 1907 until 1925)",1916-1921,Sir Henry C.M. Lambert,"K.C.M.G., C.B."
73,"Assistant Under-Secretary, Dominions Division (from 1907 until 1925)",1921-1925,Sir Charles T. Davis,G.C.M.G.
74,"Assistant Under-Secretary, Dominions Division (from 1907 until 1925)",1921-1925,Sir Edward J. Harding,"G.C.M.G., K.C.B."
75,"Assistant Under-Secretary (Middle East, Mediterranean (and Information until 1947) until 1956)",1921-1931,Sir John E. Shuckburgh,"K.C.M.G., C.B."
76,"Assistant Under-Secretary (Middle East, Mediterranean (and Information until 1947) until 1956)",1945-1956,Sir John M. Martin,"K.C.M.G., C.B., C.V.O."
77,"Assistant Under-Secretary (Mediterranean and Far East; and Aden and Gambia from 1961 until 1962; Mediterranean and Atlantic, Aden, International Relations, Social Service and General from 1962 until 1963; Mediterranean and Atlantic, Defence, Intelligence and Security, International Relations and General from 1963 until 1964; Defence, Intelligence and Security, International Relations and General and Atlantic from 1964 until 1966)",1956-1961,Sir Eugene Melville,K.C.M.G.
78,"Assistant Under-Secretary (Mediterranean and Far East; and Aden and Gambia from 1961 until 1962; Mediterranean and Atlantic, Aden, International Relations, Social Service and General from 1962 until 1963; Mediterranean and Atlantic, Defence, Intelligence and Security, International Relations and General from 1963 until 1964; Defence, Intelligence and Security, International Relations and General and Atlantic from 1964 until 1966)",1961-1966,Christopher G. Eastwood,C.M.G.
79,Assistant Under-Secretary (Africa) (from 1947 until 1954),1947-1951,Sir Andrew B. Cohen,"K.C.M.G., K.C.V.O., O.B.E."
80,Assistant Under-Secretary (Africa) (from 1947 until 1954),1951-1954,Sir William L. Gorell-Barnes,K.C.M.G.
81,"Assistant Under-Secretary (West Africa and Eastern) until 1947; West Africa from 1954 and Gulf of Aden, General and International Relations from 1959 until 1961)",1943-1947,Sir Thomas I.K. Lloyd,"G.C.M.G., K.C.B."
82,"Assistant Under-Secretary (West Africa and Eastern) until 1947; West Africa from 1954 and Gulf of Aden, General and International Relations from 1959 until 1961)",1954-1961,Christopher G. Eastwood,C.M.G.
83,"Assistant Under-Secretary (East and Central Africa, General and West Indies (until 1947)",1946-1947,Sir George F. Seel,K.C.M.G.
84,"Assistant Under-Secretary (Central, East Africa and Aden (from 1954)",1954-1959,Sir William L. Gorell-Barnes,K.C.M.G.
85,Assistant Under-Secretary (Central and West Africa),1959-1961,Sir W. B. Leslie Monson,K.C.M.G.
86,"Assistant Under-Secretary (Central, East and Southern Africa)",1961-1962,Sir W. B. Leslie Monson,"K.C.M.G., C.B."
87,Assistant Under-Secretary (East and Southern Africa),1962-1963,Sir W. B. Leslie Monson,"K.C.M.G., C.B."
88,Assistant Under-Secretary (Aden and Southern Africa),1963-1964,Sir W.B. Leslie Monson,"K.C.M.G., C.B."
89,Assistant Under-Secretary (Aden and Southern Africa),1964-1966,John E. Marnham,"C.M.G., M.C., T.D."
