,Position,date,persName,roleName
1,VICEROY (Governor-General until 1858 and from 1947 until 1948),1856-1862,Rt. Hon. Earl Canning,"K.G., G.C.B., G.C.S.I."
2,VICEROY (Governor-General until 1858 and from 1947 until 1948),1862-1863,"Rt. Hon. Earl of Elgin and Kincardine, K.T.",G.C.B.
3,VICEROY (Governor-General until 1858 and from 1947 until 1948),1864-1869,Rt. Hon. Lord Lawrence,"G.C.B., G.C.S.I."
4,VICEROY (Governor-General until 1858 and from 1947 until 1948),1869-1872,Rt. Hon. Earl of Mayo,"K.P., G.C.S.I."
5,VICEROY (Governor-General until 1858 and from 1947 until 1948),1872-1876,Rt. Hon. Earl of Northbrook,G.C.S.I.
6,VICEROY (Governor-General until 1858 and from 1947 until 1948),1876-1880,Rt. Hon. Earl of Lytton,"G.C.B., G.C.S.I., G.C.I.E."
7,VICEROY (Governor-General until 1858 and from 1947 until 1948),1880-1884,Rt. Hon. Marquess of Ripon,"K.G., G.C.S.I., C.I.E."
8,VICEROY (Governor-General until 1858 and from 1947 until 1948),1884-1888,Rt. Hon. Marquess of Dufferin and Ava,"K.P., G.C.B., G.C.S.I., G.C.M.G., G.C.I.E."
9,VICEROY (Governor-General until 1858 and from 1947 until 1948),1888-1894,Rt. Hon. Marquess of Lansdowne,"K.G., G.C.S.I., G.C.M.G., G.C.I.E."
10,VICEROY (Governor-General until 1858 and from 1947 until 1948),1894-1899,Rt. Hon. Earl of Elgin and Kincardine,"K.G., G.C.S.I., G.C.I.E."
11,VICEROY (Governor-General until 1858 and from 1947 until 1948),1899-1905,Rt. Hon. Marquess Curzon of Kedleston,"K.G., G.C.S.I., G.C.I.E."
12,VICEROY (Governor-General until 1858 and from 1947 until 1948),1905-1910,Rt. Hon. Earl of Minto,"K.G., G.C.S.I., G.C.M.G., G.C.I.E."
13,VICEROY (Governor-General until 1858 and from 1947 until 1948),1910-1916,Rt. Hon. Lord Hardinge of Penshurst,"K.G., G.C.B., G.C.S.I., G.C.I.E., G.C.V.O."
14,VICEROY (Governor-General until 1858 and from 1947 until 1948),1916-1921,Rt. Hon. Viscount Chelmsford,"G.C.S.I., G.C.M.G., G.C.I.E., G.B.E."
15,VICEROY (Governor-General until 1858 and from 1947 until 1948),1921-1926,Rt. Hon. Marquess of Reading,"G.C.B., G.C.S.I., G.C.I.E., G.C.V.O."
