,Position,date,persName,roleName
1,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1858-1860,Sir George R. Clerk,"G.C.S.I., K.C.B."
2,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1860-1874,Herman Merivale,C.B.
3,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1874-1883,Rt. Hon. Sir Louis Mallet,C.B.
4,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1883-1909,Lord Kilbracken,G.C.B.
5,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1910-1912,Sir Richmond T.W. Ritchie,K.C.B.
6,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1912-1920,"Sir Thomas W. Holderness, Bt.","G.C.B., K.C.S.I."
7,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1920-1924,Sir William T. Duke,"G.C.I.E., K.C.S.I."
8,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1924-1930,Sir F. Arthur Hirtzel,G.C.B.
9,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1930-1941,Sir S. Findlater Stewart,"G.C.B., G.C.I.E., C.S.I."
10,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1941-1947,Sir David T. Monteath,"K.C.B., K.C.S.I., K.C.M.G., C.V.O., O.B.E."
11,"Permanent Under-Secretary, India Office (until 1947; and Burma from 1937)",1947,Sir R.H. Archibald Carter,"G.C.M.G., K.C.B., K.C.I.E."
12,Deputy Under-Secretary,1921-1924,Sir F. Arthur Hirtzel,G.C.B.
13,Deputy Under-Secretary,1924-1933,Sir Malcolm C.C. Seton,K.C.B.
14,Deputy Under-Secretary,1933-1934,Sir Louis J. Kershaw,"K.C.S.I., C.I.E."
15,Deputy Under-Secretary,1934-1941,Sir Leonard D. Wakely,"K.C.I.E., C.B."
16,Deputy Under-Secretary,1940-1942,Sir Stuart K. Brown,"K.C.I.E., C.B., C.V.O."
17,Deputy Under-Secretary,1941-1947,Sir William D. Croft,"K.C.B., K.B.E., C.I.E., C.V.O."
18,Deputy Under-Secretary,1942-1946,Sir John C. Walton,"K.C.I.E., C.B., M.C."
19,Deputy Under-Secretary,1943-1946,Sir Cecil H. Kisch,"K.C.I.E., C.B."
20,Deputy Under-Secretary,1945-1947,Sir J. Gilbert Laithwaite,"G.C.M.G., K.C.B., K.C.I.E., C.S.I."
21,Assistant Under-Secretary,1858-1872,James C. Melvill,
22,Assistant Under-Secretary,1872-1883,Sir Thomas L. Seccombe,"G.C.I.E., K.C.S.I., C.B."
23,Assistant Under-Secretary,1883-1907,Sir Horatio G. Walpole,K.C.B.
24,Assistant Under-Secretary,1907-1911,Colin G. Campbell,C.B.
25,Assistant Under-Secretary,1911-1917,Sir B. Lionel Abrahams,K.C.B.
26,Assistant Under-Secretary,1917-1921,Sir F. Arthur Hirtzel,G.C.B.
27,Assistant Under-Secretary,1919-1924,Sir Malcolm C.C. Seton,K.C.B.
28,Assistant Under-Secretary,1924-1933,Sir Louis J. Kershaw,"K.C.S.I., C.I.E."
29,Assistant Under-Secretary,1924-1930,Sir S. Findlater Stewart,"G.C.B., G.C.I.E., C.S.I."
30,Assistant Under-Secretary,1930-1934,Sir Leonard D. Wakely,"K.C.I.E., C.B."
31,Assistant Under-Secretary,1933-1943,Sir Cecil H. Kisch,"K.C.I.E., C.B."
32,Assistant Under-Secretary,1934-1940,Sir Stuart K. Brown,"K.C.I.E., C.B., C.V.O."
33,Assistant Under-Secretary,1936,Sir R.H. Archibald Carter,"G.C.M.G., K.C.B., K.C.I.E."
34,Assistant Under-Secretary,1936-1942,Sir John C. Walton,"K.C.I.E., C.B."
35,Assistant Under-Secretary,1940-1941,Sir William D. Croft,"K.C.B., K.B.E., C.I.E., C.V.O."
36,Assistant Under-Secretary,1940-1944,Francis W.H. Smith,C.I.E.
37,Assistant Under-Secretary,1941-1947,Sir David T. Monteath,"K.C.B., K.C.S.I., K.C.M.G., C.V.O., O.B.E."
38,Assistant Under-Secretary,1941-1947,Sir Paul J. Patrick,"K.C.I.E., C.S.I."
39,Assistant Under-Secretary,1943,Sir J. Gilbert Laithwaite,"G.C.M.G., K.C.B., K.C.I.E., C.S.I."
40,Assistant Under-Secretary,1943-1947,George H. Baxter,"C.M.G., C.I.E."
41,"Assistant Under-Secretary, Burma Office",1937-1941,Sir David T. Monteath,"K.C.B., K.C.S.I., K.C.M.G., C.V.O., O.B.E."
42,"Assistant Under-Secretary, Burma Office",1944-1947,Francis W.H. Smith,C.I.E.
43,"Assistant Under-Secretary, Burma Office",1947,Sir David T. Monteath,"K.C.B., K.C.S.I., K.C.M.G., C.V.O., O.B.E."
44,Legal Adviser,1879-1882,Sir Arthur G. Macpherson,K.C.I.E.
45,Legal Adviser,1882-1892,Sir Charles Pontifex,K.C.I.E.
46,Legal Adviser,1892-1902,Rt. Hon. Sir Arthur Wilson,K.C.I.E.
47,Legal Adviser,1902-1907,Sir Horatio Hale Shephard,
48,Legal Adviser,1907-1917,Sir Stephen G. Sale,K.C.I.E.
49,Legal Adviser,1917-1933,Sir Edward M. des C. Chamier,"K.C.S.I., K.C.I.E."
50,Legal Adviser,1933-1938,Sir Herbert G. Pearson,
51,Legal Adviser,1938-1948,Sir Kenneth M. Kemp,
52,"Secretary, Financial Department",1859-1879,Sir Thomas L. Seccombe,"G.C.I.E., K.C.S.I., C.B."
53,"Secretary, Financial Department",1879-1902,Sir Henry Waterfield,"G.C.I.E., K.C.S.I., C.B."
54,"Secretary, Financial Department",1902-1911,Sir B. Lionel Abrahams,K.C.B.
55,"Secretary, Financial Department",1911-1918,Francis W. Newmarch,C.S.I.
56,"Secretary, Financial Department",1914-1931,Sir William Robinson,C.B.E.
57,"Secretary, Financial Department",1917-1920,Francis H. Lucas,"C.B., C.V.O."
58,"Secretary, Financial Department",1921-1933,Sir Cecil H. Kisch,"K.C.I.E., C.B."
59,"Secretary, Financial Department",1931-1934,Sir David T. Monteath,"K.C.B., K.C.S.I., K.C.M.G., C.V.O., O.B.E."
60,"Secretary, Financial Department",1931-1946,Frederic E. Grist,C.I.E.
