0	ABBOTT, ANTHONY J.	1993	1997	Consul-General Perth Australia 	Q56794768
1	ABBOTT, ANTHONY J.	1997	2001	Governor of Montserrat 	Q56794768
2	ABBOTT, ARTHUR	1928	1939	Consul-General Sao Paulo 	
3	ABBOTT, PETER	2014		Counsellor and Deputy Head of Mission Embassy Portugal 	
4	ABBOTT, WILLIAM G.	1889	1895	Consul-General Rio de Janeiro 	
5	ABBOTT-WATT, THORHILDA (THORDA) M.V.	2002	2006	Ambassador to Armenia 	Q27899329
6	ABBOTT-WATT, THORHILDA (THORDA) M.V.	2008	2009	Ambasador to Outer Mongolia and 2011-2012	Q27899329
7	ABBOTT-WATT, THORHILDA (THORDA) M.V.	2016		Ambassador to Turkmenistan 	Q27899329
8	ABERCROMBY, Hon. SIR RALPH	1831	1836	Secretary of Legation Prussia 	
9	ABERCROMBY, Hon. SIR RALPH	1836	1839	Minister Resident Tuscany 	
10	ABERCROMBY, Hon. SIR RALPH	1839	1840	Minister to the German Confederation 	
11	ABERCROMBY, Hon. SIR RALPH	1840	1852	Minister to Sardinia-Piedmont 	
12	ABERCROMBY, Hon. SIR RALPH	1852	1858	Minister to the Netherlands 	
13	ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF	1813	1814	Ambassador to Austria 	Q24631
14	ACLAND, SIR ANTONY A.	1970	1972	Head of Arabian Department Foreign and Commonwealth Office 	Q4059659
15	ACLAND, SIR ANTONY A.	1972	1975	Principal Private Secretary to the Foreign Secretary 	Q4059659
16	ACLAND, SIR ANTONY A.	1975	1977	Ambassador to Luxemburg 	Q4059659
17	ACLAND, SIR ANTONY A.	1977	1980	Ambassador to Spain 	Q4059659
18	ACLAND, SIR ANTONY A.	1980	1982	Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence and Intelligence) 	Q4059659
19	ACLAND, SIR ANTONY A.	1982	1986	Permanent Under-Secretary for Foreign and Commonwealth Affairs 	Q4059659
20	ACLAND, SIR ANTONY A.	1986	1991	Ambassador to the U.S.A. 	Q4059659
21	A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1801	1807	Secretary of Legation The Two Sicilies 	
22	A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1814	1822	Minister to the Two Sicilies 	
23	A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1822	1824	Minister to Spain 	
24	A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1828	1832	Ambassador to Portugal 	
25	A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1828	1832	Ambassador to Russia 	
26	ACTON, RICHARD, 2nd LORD	1906	1911	Secretary of Legation the Netherlands 	Q336154
27	ACTON, RICHARD, 2nd LORD	1911	1914	Charge d’Affaires Hesse-Darmstadt and Baden 	Q336154
28	ACTON, RICHARD, 2nd LORD	1914	1919	Secretary of Legation Switzerland 	Q336154
29	ACTON, RICHARD, 2nd LORD	1919	1920	Minister to Finland 	Q336154
30	ADAIR, ARTHUR R.	1960	1964	Deputy High Commissioner Dacca Pakistan 	
31	ADAIR, ARTHUR R.	1964	1968	Deputy High Commissioner Cyprus 	
32	ADAIR, ARTHUR R.	1968	1972	High Commissioner in Brunei 	
33	ADAIR, Rt. Hon. SIR ROBERT	1809	1810	Ambassador to Turkey 	
34	ADAM, C.F. FREDERICK	1888	1892	Secretary of Legation Brazil 	
35	ADAM, C.F. FREDERICK	1892	1897	Secretary of Legation Belgium 	
36	ADAM, C.F. FREDERICK	1897	1898	Secretary of Embassy U.S.A. 	
37	ADAM, C.F. FREDERICK	1898	1905	Secretary of Embassy (Counsellor) Spain 	
38	ADAM, FREDERICK E.F.	1929	1934	Counsellor Embassy Portugal 	
39	ADAM, FREDERICK E.F.	1934	1939	Minister to Panama and Costa Rica 	
40	ADAMS, ALEC C.S.	1953	1955	Consul-General Houston 	
41	ADAMS, ALEC C.S.	1956	1962	Counsellor Embassy Thailand 	
42	ADAMS, ALEC C.S.	1962	1963	Deputy Commissioner South-East Asia 	
43	ADAMS, ALEC C.S.	1963	1967	Political Adviser Far East Forces 	
44	ADAMS, ALEXANDER A.	1933	1935	Commercial Counsellor Spain 	
45	ADAMS, ALEXANDER A.	1935	1941	Commercial Counsellor Romania 	
46	ADAMS, ALEXANDER A.			Commercial Counsellor Turkey 	
47	ADAMS, C. CHRISTIAN W.	1982	1985	Senior Trade Commissioner Hong Kong 	
48	ADAMS, C. CHRISTIAN W.	1986	1988	Head of South-East Asia Department Foreign and Commonwealth Office 	
49	ADAMS, C. CHRISTIAN W.	1992	1996	Ambassador to Thailand 	
50	ADAMS, SIR FRANCIS O.	1868	1872	Secretary of Legation Japan 	
51	ADAMS, SIR FRANCIS O.	1872	1874	Secretary of Embassy Germany 	
52	ADAMS, SIR FRANCIS O.	1874	1875	Secretary of Embassy France 	
53	ADAMS, SIR FRANCIS O.	1875	1881	Minister France 	
54	ADAMS, SIR FRANCIS O.	1881	1888	Minister to Switzerland 	
55	ADAMS, SIR GEOFFREY D.	1998	2001	Counsellor and Deputy Head of Mission Egypt 	Q1502925
